date,temperature_2m_mean,relative_humidity_2m_mean,precipitation_sum,pressure_msl_mean
2000-01-01 00:00:00+00:00,16.036583,82.30564,0.0,1016.6292
2000-01-02 00:00:00+00:00,17.465748,74.82271,0.3,1013.7666
2000-01-03 00:00:00+00:00,15.282417,77.42783,0.5,1012.1292
2000-01-04 00:00:00+00:00,12.326167,69.80013,0.1,1014.28754
2000-01-05 00:00:00+00:00,10.642833,62.888935,0.0,1015.2376
2000-01-06 00:00:00+00:00,12.138665,63.886852,0.0,1018.52094
2000-01-07 00:00:00+00:00,12.226167,69.922775,0.0,1019.15424
2000-01-08 00:00:00+00:00,12.171997,79.18763,0.0,1019.28754
2000-01-09 00:00:00+00:00,11.897002,67.341705,0.0,1021.5417
2000-01-10 00:00:00+00:00,11.982417,69.01019,0.0,1023.5542
2000-01-11 00:00:00+00:00,11.547,65.75113,0.0,1023.26245
2000-01-12 00:00:00+00:00,11.390751,67.91619,0.0,1022.5
2000-01-13 00:00:00+00:00,11.449084,67.68792,0.0,1021.83325
2000-01-14 00:00:00+00:00,12.984501,57.059826,0.1,1018.10834
2000-01-15 00:00:00+00:00,13.076168,65.059,0.0,1017.3083
2000-01-16 00:00:00+00:00,13.015751,68.752754,0.0,1017.94586
2000-01-17 00:00:00+00:00,13.515751,63.97604,0.0,1014.6375
2000-01-18 00:00:00+00:00,13.688666,51.390392,0.3,1009.54584
2000-01-19 00:00:00+00:00,13.578248,55.45271,0.0,1015.6582
2000-01-20 00:00:00+00:00,13.667834,48.141735,0.0,1017.07513
2000-01-21 00:00:00+00:00,11.617833,70.92266,0.5,1020.0083
2000-01-22 00:00:00+00:00,11.81575,57.600323,0.0,1020.5791
2000-01-23 00:00:00+00:00,11.328251,53.6878,0.0,1020.67914
2000-01-24 00:00:00+00:00,14.590751,43.53426,0.0,1015.78326
2000-01-25 00:00:00+00:00,13.249084,53.236645,0.0,1019.3709
2000-01-26 00:00:00+00:00,11.711583,68.23276,0.0,1020.20435
2000-01-27 00:00:00+00:00,9.663669,70.4748,1.7,1017.0916
2000-01-28 00:00:00+00:00,8.480334,57.505707,0.0,1020.57495
2000-01-29 00:00:00+00:00,10.211584,59.27596,0.0,1025.2957
2000-01-30 00:00:00+00:00,11.501167,52.160843,0.0,1025.8541
2000-01-31 00:00:00+00:00,12.00325,61.315296,0.0,1024.8544
2000-02-01 00:00:00+00:00,12.426167,72.69566,0.0,1024.9667
2000-02-02 00:00:00+00:00,13.042831,69.46635,0.0,1023.6458
2000-02-03 00:00:00+00:00,13.547001,68.30637,0.0,1021.46674
2000-02-04 00:00:00+00:00,13.334503,68.03963,0.0,1020.93317
2000-02-05 00:00:00+00:00,13.57825,68.69055,0.0,1019.92914
2000-02-06 00:00:00+00:00,13.64075,56.10994,0.0,1020.95
2000-02-07 00:00:00+00:00,14.611584,59.69339,0.0,1020.2874
2000-02-08 00:00:00+00:00,13.094917,62.048176,0.0,1019.93317
2000-02-09 00:00:00+00:00,13.430333,53.396713,0.0,1021.6375
2000-02-10 00:00:00+00:00,14.197,54.662304,0.0,1019.8167
2000-02-11 00:00:00+00:00,14.592834,61.064236,0.0,1019.39594
2000-02-12 00:00:00+00:00,13.447001,69.16134,0.0,1016.0999
2000-02-13 00:00:00+00:00,13.086585,66.63399,0.0,1018.23755
2000-02-14 00:00:00+00:00,13.755334,59.26036,0.0,1019.84174
2000-02-15 00:00:00+00:00,14.451169,47.827496,0.0,1017.92487
2000-02-16 00:00:00+00:00,13.884501,54.51729,0.0,1020.4582
2000-02-17 00:00:00+00:00,13.365749,56.667683,0.0,1021.74164
2000-02-18 00:00:00+00:00,13.505334,48.744953,0.0,1019.61255
2000-02-19 00:00:00+00:00,13.965751,47.164043,0.0,1021.44165
2000-02-20 00:00:00+00:00,13.678249,56.53072,0.0,1022.79584
2000-02-21 00:00:00+00:00,13.7345,56.358646,0.0,1019.09155
2000-02-22 00:00:00+00:00,13.905332,54.575855,0.0,1016.7459
2000-02-23 00:00:00+00:00,13.007416,62.62143,0.0,1017.5291
2000-02-24 00:00:00+00:00,13.642835,56.421,0.0,1019.09155
2000-02-25 00:00:00+00:00,13.901168,55.243587,0.0,1020.571
2000-02-26 00:00:00+00:00,13.107418,60.94917,0.0,1021.58746
2000-02-27 00:00:00+00:00,13.590751,55.724957,0.0,1022.15424
2000-02-28 00:00:00+00:00,13.224086,59.02696,0.0,1023.5374
2000-02-29 00:00:00+00:00,13.8324175,50.80031,0.0,1022.8916
2000-03-01 00:00:00+00:00,12.055332,60.626465,0.0,1022.9502
2000-03-02 00:00:00+00:00,12.919917,52.495667,0.0,1025.3334
2000-03-03 00:00:00+00:00,14.717834,49.361588,0.0,1022.07086
2000-03-04 00:00:00+00:00,14.353251,55.091076,0.0,1022.2541
2000-03-05 00:00:00+00:00,14.182416,58.745564,0.0,1023.50397
2000-03-06 00:00:00+00:00,14.7595,58.196827,0.0,1020.38745
2000-03-07 00:00:00+00:00,12.340751,53.60117,0.0,1021.3459
2000-03-08 00:00:00+00:00,11.638665,51.341488,0.0,1023.625
2000-03-09 00:00:00+00:00,13.032417,57.129604,0.0,1024.0751
2000-03-10 00:00:00+00:00,14.294917,54.556866,0.0,1022.89996
2000-03-11 00:00:00+00:00,14.569919,56.45406,0.0,1022.67914
2000-03-12 00:00:00+00:00,15.542834,60.478634,0.0,1021.1958
2000-03-13 00:00:00+00:00,15.657418,62.369587,0.0,1020.4709
2000-03-14 00:00:00+00:00,15.532417,65.97767,0.0,1019.81683
2000-03-15 00:00:00+00:00,15.730336,62.823215,0.0,1019.4543
2000-03-16 00:00:00+00:00,15.776169,57.606583,0.0,1016.35425
2000-03-17 00:00:00+00:00,16.171997,51.593006,0.0,1010.57495
2000-03-18 00:00:00+00:00,16.72825,49.07243,0.0,1012.0417
2000-03-19 00:00:00+00:00,15.722001,53.276,0.0,1016.4958
2000-03-20 00:00:00+00:00,16.369917,53.51222,0.7,1017.30835
2000-03-21 00:00:00+00:00,15.267834,67.18957,0.4,1013.9541
2000-03-22 00:00:00+00:00,14.580335,60.05664,0.0,1012.6624
2000-03-23 00:00:00+00:00,13.184503,54.64928,0.0,1012.0667
2000-03-24 00:00:00+00:00,15.092834,53.786816,0.0,1016.4084
2000-03-25 00:00:00+00:00,15.3344965,57.034607,0.0,1019.7876
2000-03-26 00:00:00+00:00,16.309502,58.400158,0.0,1020.696
2000-03-27 00:00:00+00:00,16.19075,56.959057,0.0,1020.29175
2000-03-28 00:00:00+00:00,17.776165,60.21176,0.0,1019.67505
2000-03-29 00:00:00+00:00,19.259504,50.536682,0.0,1019.1126
2000-03-30 00:00:00+00:00,21.359499,36.77295,0.0,1016.8625
2000-03-31 00:00:00+00:00,22.911583,29.373863,0.0,1012.88763
2000-04-01 00:00:00+00:00,25.265755,24.4453,0.0,1008.24994
2000-04-02 00:00:00+00:00,22.9345,37.205215,0.0,1010.5251
2000-04-03 00:00:00+00:00,20.776169,49.236618,0.0,1015.5166
2000-04-04 00:00:00+00:00,21.307417,38.87518,0.0,1015.6667
2000-04-05 00:00:00+00:00,24.819918,28.386755,0.0,1013.97925
2000-04-06 00:00:00+00:00,24.584497,38.975082,0.0,1013.22925
2000-04-07 00:00:00+00:00,19.449081,53.57326,0.0,1015.87915
2000-04-08 00:00:00+00:00,17.607414,55.683777,0.0,1016.3584
2000-04-09 00:00:00+00:00,16.832418,55.145386,0.0,1017.2915
2000-04-10 00:00:00+00:00,18.026169,43.511623,0.0,1017.6667
2000-04-11 00:00:00+00:00,25.386583,24.65505,0.0,1011.12494
2000-04-12 00:00:00+00:00,31.03242,15.8914795,0.0,1006.6208
2000-04-13 00:00:00+00:00,22.882414,43.013447,0.0,1009.80005
2000-04-14 00:00:00+00:00,19.911583,57.744125,0.0,1012.81647
2000-04-15 00:00:00+00:00,20.417831,53.57877,0.0,1012.63336
2000-04-16 00:00:00+00:00,21.619917,51.07786,0.0,1009.5251
2000-04-17 00:00:00+00:00,24.894915,45.036785,0.0,1003.72504
2000-04-18 00:00:00+00:00,26.017838,34.354374,0.0,1001.5208
2000-04-19 00:00:00+00:00,21.66575,35.503124,0.0,1005.6999
2000-04-20 00:00:00+00:00,20.607416,31.57274,0.0,1010.71246
2000-04-21 00:00:00+00:00,20.507416,40.729763,0.0,1013.0708
2000-04-22 00:00:00+00:00,20.288668,47.894775,0.0,1015.0334
2000-04-23 00:00:00+00:00,21.438667,52.870907,0.1,1015.07916
2000-04-24 00:00:00+00:00,21.742834,51.151196,0.0,1015.1707
2000-04-25 00:00:00+00:00,21.588667,52.220806,0.0,1015.70825
2000-04-26 00:00:00+00:00,22.296999,49.247944,0.0,1013.13336
2000-04-27 00:00:00+00:00,22.782417,49.00987,0.0,1010.23755
2000-04-28 00:00:00+00:00,21.222002,57.457336,0.0,1011.8625
2000-04-29 00:00:00+00:00,21.1845,51.184967,0.0,1014.3125
2000-04-30 00:00:00+00:00,22.403252,48.942078,0.0,1014.3291
2000-05-01 00:00:00+00:00,21.87825,54.63611,0.0,1012.9875
2000-05-02 00:00:00+00:00,23.294916,51.63525,0.0,1010.55
2000-05-03 00:00:00+00:00,28.7595,30.298578,0.0,1005.71246
2000-05-04 00:00:00+00:00,22.813667,54.428005,0.0,1009.86255
2000-05-05 00:00:00+00:00,21.511583,57.425003,0.0,1012.4084
2000-05-06 00:00:00+00:00,20.56367,51.73624,0.0,1015.85834
2000-05-07 00:00:00+00:00,19.547,52.17703,0.0,1017.4167
2000-05-08 00:00:00+00:00,20.222002,51.82085,0.0,1018.02075
2000-05-09 00:00:00+00:00,21.065752,51.528057,0.0,1017.179
2000-05-10 00:00:00+00:00,22.167833,47.17302,0.0,1016.00415
2000-05-11 00:00:00+00:00,22.717833,46.24265,0.0,1015.59576
2000-05-12 00:00:00+00:00,22.882421,43.983414,0.0,1014.57513
2000-05-13 00:00:00+00:00,24.90742,45.19711,0.0,1013.8293
2000-05-14 00:00:00+00:00,25.0095,45.799057,0.0,1013.44574
2000-05-15 00:00:00+00:00,25.044914,53.57999,0.0,1013.7415
2000-05-16 00:00:00+00:00,25.79075,47.507412,0.0,1012.9543
2000-05-17 00:00:00+00:00,28.511583,34.005775,0.0,1007.89996
2000-05-18 00:00:00+00:00,23.382418,57.98238,0.0,1009.5959
2000-05-19 00:00:00+00:00,23.851171,48.388245,0.0,1011.31256
2000-05-20 00:00:00+00:00,24.974083,39.1528,0.0,1011.26666
2000-05-21 00:00:00+00:00,25.87825,37.102955,0.0,1013.02496
2000-05-22 00:00:00+00:00,24.642836,39.768497,0.0,1014.55835
2000-05-23 00:00:00+00:00,23.432419,49.39285,0.0,1013.9958
2000-05-24 00:00:00+00:00,26.009499,49.277607,0.0,1010.8752
2000-05-25 00:00:00+00:00,27.630327,42.936115,0.0,1008.4292
2000-05-26 00:00:00+00:00,23.276163,55.355762,0.0,1011.5667
2000-05-27 00:00:00+00:00,24.063667,52.340622,0.0,1011.44586
2000-05-28 00:00:00+00:00,25.903252,46.138287,0.0,1011.93744
2000-05-29 00:00:00+00:00,28.978249,30.777136,0.0,1009.85834
2000-05-30 00:00:00+00:00,30.097,33.642635,0.0,1006.9167
2000-05-31 00:00:00+00:00,27.042831,48.349888,0.0,1010.62915
2000-06-01 00:00:00+00:00,26.384499,50.9266,0.0,1010.5916
2000-06-02 00:00:00+00:00,25.986586,56.281208,0.0,1008.76666
2000-06-03 00:00:00+00:00,24.488668,57.28232,0.0,1009.91254
2000-06-04 00:00:00+00:00,24.557417,51.187576,0.0,1012.4543
2000-06-05 00:00:00+00:00,25.317833,50.676056,0.0,1012.6833
2000-06-06 00:00:00+00:00,25.071999,47.407055,0.0,1010.3291
2000-06-07 00:00:00+00:00,25.936584,45.5918,0.0,1010.3333
2000-06-08 00:00:00+00:00,26.86367,49.170597,0.0,1011.9167
2000-06-09 00:00:00+00:00,27.555336,51.807865,0.0,1012.4834
2000-06-10 00:00:00+00:00,28.634499,49.659145,0.0,1011.6167
2000-06-11 00:00:00+00:00,29.274086,45.39976,0.0,1011.05005
2000-06-12 00:00:00+00:00,27.826166,50.82111,0.0,1011.42084
2000-06-13 00:00:00+00:00,28.044914,48.888744,0.0,1010.979
2000-06-14 00:00:00+00:00,28.849083,43.443348,0.0,1008.6125
2000-06-15 00:00:00+00:00,28.909494,44.52106,0.0,1006.79584
2000-06-16 00:00:00+00:00,29.192831,45.58113,0.0,1006.3833
2000-06-17 00:00:00+00:00,29.805336,39.24206,0.0,1007.6499
2000-06-18 00:00:00+00:00,28.27825,51.07561,0.0,1009.62915
2000-06-19 00:00:00+00:00,25.594915,54.586792,0.0,1011.07086
2000-06-20 00:00:00+00:00,25.588667,53.239086,0.0,1011.36255
2000-06-21 00:00:00+00:00,25.907415,53.912113,0.0,1011.75415
2000-06-22 00:00:00+00:00,25.430334,49.906754,0.0,1012.7835
2000-06-23 00:00:00+00:00,25.901167,49.27209,0.0,1011.28345
2000-06-24 00:00:00+00:00,26.874083,53.33595,0.0,1009.30835
2000-06-25 00:00:00+00:00,28.001167,49.056004,0.0,1008.6082
2000-06-26 00:00:00+00:00,27.990747,48.769436,0.0,1008.6541
2000-06-27 00:00:00+00:00,27.811584,51.15021,0.0,1007.8125
2000-06-28 00:00:00+00:00,26.909502,54.11745,0.0,1006.9543
2000-06-29 00:00:00+00:00,27.246996,55.51584,0.0,1007.63324
2000-06-30 00:00:00+00:00,26.778252,54.3921,0.0,1008.7791
2000-07-01 00:00:00+00:00,27.067835,53.65788,0.0,1009.6626
2000-07-02 00:00:00+00:00,27.71575,54.08937,0.0,1008.87915
2000-07-03 00:00:00+00:00,28.172003,57.890354,0.0,1006.7876
2000-07-04 00:00:00+00:00,28.342833,55.89372,0.0,1006.57495
2000-07-05 00:00:00+00:00,29.115753,52.17001,0.0,1007.33746
2000-07-06 00:00:00+00:00,29.553253,47.558,0.0,1006.08325
2000-07-07 00:00:00+00:00,30.615746,43.960323,0.0,1002.94995
2000-07-08 00:00:00+00:00,30.924082,49.273144,0.0,1003.2458
2000-07-09 00:00:00+00:00,29.807419,54.066067,0.0,1005.10406
2000-07-10 00:00:00+00:00,30.230333,45.214222,0.0,1004.4375
2000-07-11 00:00:00+00:00,29.178251,57.02454,0.0,1005.43335
2000-07-12 00:00:00+00:00,28.930336,56.259342,0.0,1006.2334
2000-07-13 00:00:00+00:00,30.094915,46.756947,0.0,1004.62524
2000-07-14 00:00:00+00:00,29.636583,52.38501,0.0,1004.40826
2000-07-15 00:00:00+00:00,27.907417,54.560917,0.0,1006.9751
2000-07-16 00:00:00+00:00,27.161581,58.102154,0.0,1009.4334
2000-07-17 00:00:00+00:00,27.205336,58.991093,0.0,1010.5041
2000-07-18 00:00:00+00:00,26.51158,61.366955,0.0,1007.34174
2000-07-19 00:00:00+00:00,27.499084,57.26636,0.0,1004.32916
2000-07-20 00:00:00+00:00,28.721998,51.556698,0.0,1005.1333
2000-07-21 00:00:00+00:00,29.234503,49.398838,0.0,1007.15826
2000-07-22 00:00:00+00:00,28.390753,53.05524,0.0,1009.05005
2000-07-23 00:00:00+00:00,26.709501,57.69487,0.0,1010.6208
2000-07-24 00:00:00+00:00,27.107416,53.26137,0.0,1008.63745
2000-07-25 00:00:00+00:00,27.957415,53.09966,0.0,1008.07086
2000-07-26 00:00:00+00:00,29.319914,51.470127,0.0,1009.14575
2000-07-27 00:00:00+00:00,29.061584,52.265446,0.0,1008.70013
2000-07-28 00:00:00+00:00,31.053251,34.475277,0.0,1006.21246
2000-07-29 00:00:00+00:00,33.238667,25.898111,0.0,1006.2375
2000-07-30 00:00:00+00:00,33.407413,29.477074,0.0,1007.42487
2000-07-31 00:00:00+00:00,30.424086,49.67314,0.0,1009.07916
2000-08-01 00:00:00+00:00,28.105333,58.91939,0.0,1008.9666
2000-08-02 00:00:00+00:00,28.165749,60.065308,0.0,1008.3042
2000-08-03 00:00:00+00:00,27.997,56.225834,0.0,1008.27094
2000-08-04 00:00:00+00:00,27.694916,56.018497,0.0,1008.07495
2000-08-05 00:00:00+00:00,27.288666,59.88316,0.0,1007.8167
2000-08-06 00:00:00+00:00,28.076164,59.264576,0.0,1008.12915
2000-08-07 00:00:00+00:00,27.884493,56.643368,0.0,1009.7168
2000-08-08 00:00:00+00:00,27.649086,57.800358,0.0,1010.896
2000-08-09 00:00:00+00:00,26.849083,57.576916,0.0,1010.87085
2000-08-10 00:00:00+00:00,26.292837,58.45625,0.0,1008.60425
2000-08-11 00:00:00+00:00,27.269918,63.05926,0.0,1006.9666
2000-08-12 00:00:00+00:00,27.68867,61.671917,0.0,1007.85834
2000-08-13 00:00:00+00:00,27.557417,59.78716,0.0,1009.4167
2000-08-14 00:00:00+00:00,27.299082,60.197636,0.0,1008.61255
2000-08-15 00:00:00+00:00,28.122002,60.14542,0.0,1007.2249
2000-08-16 00:00:00+00:00,29.15117,56.94305,0.0,1006.75824
2000-08-17 00:00:00+00:00,28.70117,62.72783,0.0,1008.075
2000-08-18 00:00:00+00:00,28.061583,61.04273,0.0,1009.9167
2000-08-19 00:00:00+00:00,27.60742,62.6804,0.0,1010.7959
2000-08-20 00:00:00+00:00,28.25325,60.463223,0.0,1008.2917
2000-08-21 00:00:00+00:00,28.544916,61.91834,0.0,1007.675
2000-08-22 00:00:00+00:00,28.578247,59.489605,0.0,1009.2083
2000-08-23 00:00:00+00:00,29.38659,48.209087,0.0,1010.4375
2000-08-24 00:00:00+00:00,28.878248,52.694214,0.0,1009.10425
2000-08-25 00:00:00+00:00,29.436583,51.444263,0.0,1006.1333
2000-08-26 00:00:00+00:00,29.728249,53.08224,0.0,1006.29175
2000-08-27 00:00:00+00:00,28.057417,58.996185,0.0,1009.9624
2000-08-28 00:00:00+00:00,27.103254,57.09432,0.0,1011.3416
2000-08-29 00:00:00+00:00,27.182419,51.92651,0.0,1010.65405
2000-08-30 00:00:00+00:00,26.805334,62.123806,0.0,1007.96674
2000-08-31 00:00:00+00:00,26.867834,59.621143,0.0,1008.4541
2000-09-01 00:00:00+00:00,27.284498,56.964325,0.0,1009.21674
2000-09-02 00:00:00+00:00,26.821999,54.954174,0.0,1009.50006
2000-09-03 00:00:00+00:00,28.02825,52.05789,0.0,1007.8499
2000-09-04 00:00:00+00:00,27.155334,60.47913,0.0,1009.98346
2000-09-05 00:00:00+00:00,27.896997,55.670643,0.0,1009.73755
2000-09-06 00:00:00+00:00,27.613668,58.148083,0.0,1008.9582
2000-09-07 00:00:00+00:00,27.101168,62.28272,0.0,1009.20416
